datetime_str,datetime_jd,Sun_solar_term,Zodiac_signs,Zodiac_degree,Sun_RA,Moon_RA,Mars_RA,Mercury_RA,Jupiter_RA,Venus_RA,Saturn_RA,Neptune_RA,Uranus_RA,Pluto_RA,Sun_DEC,Moon_DEC,Mars_DEC,Mercury_DEC,Jupiter_DEC,Venus_DEC,Saturn_DEC,Neptune_DEC,Uranus_DEC,Pluto_DEC,Sun_ObsEclLon,Moon_ObsEclLon,Mars_ObsEclLon,Mercury_ObsEclLon,Jupiter_ObsEclLon,Venus_ObsEclLon,Saturn_ObsEclLon,Neptune_ObsEclLon,Uranus_ObsEclLon,Pluto_ObsEclLon,Sun_ObsEclLat,Moon_ObsEclLat,Mars_ObsEclLat,Mercury_ObsEclLat,Jupiter_ObsEclLat,Venus_ObsEclLat,Saturn_ObsEclLat,Neptune_ObsEclLat,Uranus_ObsEclLat,Pluto_ObsEclLat,Sun_illumination,Moon_illumination,Mars_illumination,Mercury_illumination,Jupiter_illumination,Venus_illumination,Saturn_illumination,Neptune_illumination,Uranus_illumination,Pluto_illumination,Sun_AZ,Moon_AZ,Mars_AZ,Mercury_AZ,Jupiter_AZ,Venus_AZ,Saturn_AZ,Neptune_AZ,Uranus_AZ,Pluto_AZ,Sun_EL,Moon_EL,Mars_EL,Mercury_EL,Jupiter_EL,Venus_EL,Saturn_EL,Neptune_EL,Uranus_EL,Pluto_EL,targetname,e,q,incl,Omega,w,Tp_jd,n,M,nu,a,Q,P
1980-03-08 22:12:10,2444307.425115741,Second_month_midpoint_驚蟄,Pisces,18.499694599999998,349.68933,244.5284,154.79181,343.39369,156.25409,30.03113,175.7507,233.55643,262.33227,206.45009,-4.43714,-15.961,14.89097,-3.40857,11.32084,13.62563,4.45961,-18.93504,-21.88122,7.9709,348.4996946,245.1848069,150.9679898,343.1029604,153.5925572,32.4068812,174.0566287,235.5361232,262.6059057,201.2409661,0.0003521,5.3367709,4.1306786,3.3789602,1.3194866,1.2971826,2.4045061,0.2860553,1.3713359,17.6196014,100.0,61.59064,,2.09286,,64.33751,,,,,69.685754,263.063375,254.926552,62.953543,248.73339,73.079831,253.879957,256.514857,261.128413,271.856729,48.831502,26.973537,-66.624869,53.606,-63.786719,5.004162,-43.517626,17.92844,44.739848,-16.852432,Moon (301),0.06629958295089715,0.002372525148117493,5.26267451457229,149.3673688295926,222.3870749399348,2444316.304511441,13.41735343706752,240.8620095823842,234.4969020293206,0.00254099184791595,0.002709458547714407,26.83092471913606
1980-03-08 14:29:56,2444307.1041203705,Second_month_midpoint_驚蟄,Pisces,18.178451100000018,349.39272,241.91282,154.90059,343.6684,156.29164,29.6891,175.77382,233.55916,262.32935,206.45589,-4.56235,-15.27338,14.861,-3.24754,11.30655,13.47801,4.44924,-18.93568,-21.88127,7.96667,348.1784511,242.5715959,151.0772649,343.4183404,153.6321847,32.0436754,174.0820374,235.53878,262.6031322,201.2482933,0.0008486,5.5596518,4.1407353,3.4230137,1.3196415,1.2734312,2.4041872,0.2861032,1.3711882,17.617852,100.0,63.51157,,1.78695,,64.46787,,,,,133.709174,88.807289,309.603213,125.834603,307.446867,237.694044,322.222126,91.073949,103.351001,20.41059,-52.565883,45.711456,35.228271,-49.429083,38.619559,-73.682192,56.613743,54.372247,28.797597,57.454559,Moon (301),0.0656601077559636,0.00237547595373296,5.262626447210789,149.3736078353002,222.1304042186357,2444316.2965514,13.40612138606228,236.7651537805106,230.7540922404632,0.002542410929311492,0.002709345904890025,26.85340447344264
1980-03-02 23:28:57,2444301.4784375,First_month_midpoint_雨水,Pisces,12.54724010000001,344.17503,175.66592,156.92393,348.60014,156.96678,23.75919,176.17162,233.588,262.2657,206.54963,-6.74288,4.43207,14.23824,-0.943,11.04455,10.82571,4.2675,-18.94288,-21.88181,7.89242,342.5472401,173.9897708,153.1335386,348.8647397,154.3445851,25.6820817,174.5183392,235.5663454,262.5435762,201.3672139,0.0004077,2.3456344,4.2737747,3.641718,1.3176121,0.8532191,2.3948622,0.2854946,1.3674478,17.5834727,100.0,98.97169,,3.34001,,66.73288,,,,,52.755538,243.387969,236.217173,50.29754,227.32554,66.466699,243.641596,252.069632,257.760575,266.584977,65.510027,-55.049378,-75.781121,58.312996,-73.606323,23.285469,-54.539524,6.114274,32.583966,-29.031374,Moon (301),0.04902722423785668,0.002461618595334095,5.275987383498274,149.5786622224746,209.5577045791844,2444288.045597785,13.04946623580394,175.2913883122051,175.7259628278024,0.002588526883286713,0.002715435171239331,27.58733525914375
1980-02-29 11:13:27,2444298.967673611,First_month_midpoint_雨水,Pisces,10.027732599999979,341.82604,147.24096,157.87112,350.27552,157.27502,21.11056,176.34495,233.59184,262.23152,206.58755,-7.70031,13.32398,13.92402,-0.50247,10.92366,9.59896,4.18739,-18.94396,-21.88169,7.85942,340.0277326,144.6431682,154.1063337,350.5817902,154.6706802,22.8066323,174.7090073,235.5698598,262.5115387,201.416573,0.0014987,0.1129657,4.3200252,3.3907425,1.3161173,0.6709394,2.3900626,0.2853512,1.3659174,17.5668359,100.0,98.2164,,8.76679,,67.70027,,,,,219.602461,14.325154,29.291872,237.428485,30.706625,268.547827,58.739258,109.37063,125.120899,73.661863,-51.863391,52.890705,48.647125,-51.212456,51.565816,-28.752867,44.165337,2.647848,-19.427092,16.624278,Moon (301),0.04771179098034956,0.002463299775292375,5.287509895560337,149.6028224685864,201.2044274506417,2444287.35633807,13.06316695248175,151.6808147143485,154.1440706954067,0.002586716659894656,0.002710133544496938,27.55840152005459
1980-02-27 21:17:20,2444297.387037037,First_month_midpoint_雨水,Pisces,8.443302800000026,340.34416,127.45665,158.46904,350.97872,157.46957,19.4504,176.45164,233.59087,262.20794,206.60983,-8.29802,16.83124,13.71394,-0.4798,10.84628,8.81558,4.1374,-18.94399,-21.88156,7.83874,338.4433028,125.3519206,154.725072,351.2384328,154.8767017,20.9937895,174.8264514,235.568851,262.4896133,201.4459668,-5.89e-05,-2.0980921,4.3398714,3.1351007,1.3142803,0.5556229,2.386432,0.2850763,1.3648359,17.5558587,100.0,91.90061,,13.60683,,68.30255,,,,,82.942017,256.141939,268.700992,79.551797,264.668629,82.567312,265.585565,263.651021,266.986906,280.750766,37.720984,-70.677855,-41.31578,24.873274,-41.280817,-4.83101,-21.328109,39.401976,66.274442,4.970126,Moon (301),0.04998364210702677,0.002445746716665777,5.292970972540044,149.5883928629629,194.878670913314,2444286.922170374,13.15682729109109,137.6844433055099,141.3673260333076,0.002574425899455206,0.002703105082244636,27.36221978407876
1980-02-23 05:51:03,2444292.7437847224,First_month_midpoint_雨水,Pisces,3.770229900000004,335.94451,66.28235,160.2423,351.02598,158.04555,14.5551,176.75708,233.57536,262.13075,206.66948,-10.0216,16.8916,13.06658,-1.5753,10.6164,6.47044,3.99343,-18.94084,-21.88052,7.7786,333.7702299,67.004268,156.5722587,350.8504655,155.4874954,15.6146858,175.1631539,235.553058,262.4172231,201.5263626,0.0014082,-4.6997619,4.3832821,2.1093058,1.3089717,0.231838,2.3753853,0.284662,1.3619846,17.5219537,100.0,52.93753,,32.51711,,70.00742,,,,,265.880117,21.102548,84.388769,280.513766,86.066822,304.204834,100.755258,182.675449,215.772348,117.692524,16.949375,47.986172,-21.957955,27.608721,-19.102064,43.512242,-33.826367,-48.413611,-36.509798,-61.795738,Moon (301),0.05866042012309824,0.002390757087071126,5.29767361654998,149.5421834004453,182.1612994413736,2444286.152346245,13.42728073575346,88.50509487373525,95.22225126299335,0.00253973925900764,0.002688721430944155,26.81108759731304
1980-02-22 03:02:47,2444291.6269328706,First_month_midpoint_雨水,Pisces,2.646216299999992,334.87992,51.35748,160.66014,350.57658,158.18337,13.37888,176.82783,233.56851,262.11034,206.68229,-10.42874,13.6477,12.90494,-2.07446,10.56064,5.89811,3.95956,-18.93941,-21.88019,7.76432,332.6462163,52.1981847,157.0115018,350.24093,155.6339283,14.3149635,175.2413387,235.5463004,262.3981894,201.5441579,0.0008201,-4.903657,4.3865645,1.8267706,1.307161,0.1552987,2.3723539,0.284502,1.3612763,17.5134127,100.0,41.08827,,37.69207,,70.40799,,,,,285.09452,53.369166,105.289656,317.11834,107.485734,10.080443,147.033183,230.282269,243.447015,232.586076,55.663271,34.560064,-61.848532,63.121296,-58.656168,61.143447,-68.235802,-29.492674,-5.669401,-67.087261,Moon (301),0.06014901947822451,0.002388816657315859,5.297681567239287,149.5432258997548,182.6732695636165,2444286.195787817,13.41176816941045,72.84125836440377,79.56082610883823,0.002541697255015538,0.002694577852715218,26.84209833130636
1980-02-15 14:25:49,2444285.101261574,Beginning_of_Spring_立春,Aquarius,26.063556100000028,328.5856,318.27673,162.99383,344.85718,158.97823,6.4782,177.21967,233.50575,261.97777,206.74563,-12.73394,-14.35652,11.95268,-6.235,10.23594,2.50966,3.76938,-18.92567,-21.87725,7.68276,326.0635561,316.047502,159.488474,343.3676513,156.4805593,6.6561671,175.6757856,235.4847116,262.2744877,201.6365819,0.0010705,1.6618759,4.3692245,0.2096983,1.2952112,-0.2676214,2.353343,0.2838824,1.3575088,17.4610406,100.0,0.78576,,66.75371,,72.65899,,,,,143.805868,134.360241,343.503302,164.005371,336.188713,215.075354,9.73052,98.238381,110.010238,51.375699,-47.275271,-39.762872,53.957988,-59.950675,54.308817,-65.78507,63.103548,33.546948,9.02936,44.942673,Moon (301),0.0722359921195776,0.002395175424309903,5.296455943818374,149.5503618450223,196.0198867442923,2444287.088290507,13.10153126680006,333.9668783014423,330.0175382690564,0.002581664522405802,0.002768153620501701,27.47770414533591
1980-02-13 22:09:30,2444283.423263889,Beginning_of_Spring_立春,Aquarius,24.367635800000016,326.9467,292.45216,163.5463,342.72105,159.17727,4.69918,177.3132,233.48289,261.93985,206.75839,-13.3055,-18.44513,11.70992,-7.50863,10.15324,1.63063,3.72291,-18.92064,-21.87626,7.66241,324.3676358,290.9946714,160.0823944,340.9212322,156.6929787,4.6755336,175.7797043,235.4622777,262.2391338,201.6565319,0.0001034,3.3530551,4.3514432,-0.1573139,1.2912035,-0.3709886,2.347774,0.2836139,1.3564968,17.4468278,100.0,8.35142,,72.90733,,73.2181,,,,,83.215262,50.894781,268.622338,83.480979,264.931324,83.734888,265.828594,263.866154,267.126798,280.937928,51.135698,83.497205,-35.316202,34.582492,-38.802629,10.828629,-19.712405,39.957152,66.689832,5.828199,Moon (301),0.07138650672033078,0.002387096415420327,5.294613330432282,149.5605048067406,200.3399187486545,2444287.369896292,13.18618946442938,307.9589573841844,301.1517157036935,0.002570602767131458,0.002754109118842588,27.30129132234327
1980-02-07 10:49:16,2444276.9508796297,Beginning_of_Spring_立春,Aquarius,17.814203599999985,320.53846,207.8048,165.44423,333.00579,159.91565,357.77965,177.64465,233.37135,261.78073,206.79465,-15.40515,-5.97674,10.82952,-12.48261,9.84349,-1.76529,3.55516,-18.8955,-21.87135,7.58697,317.8142036,207.686048,162.1444548,330.1961481,157.4830141,356.9764339,176.1496203,235.3527823,262.0904187,201.7200344,0.001893,5.1073778,4.2541453,-1.2609416,1.2749015,-0.7369651,2.32543,0.2830485,1.3531117,17.3900733,100.0,67.25951,,89.43148,,75.28666,,,,,220.152225,98.19688,63.882716,233.906859,61.381757,258.935905,77.161187,121.843454,145.639871,85.213451,-41.931103,-4.28166,26.698765,-35.575933,31.777455,-20.240869,19.591081,-20.316068,-37.30791,-8.593963,Moon (301),0.06567702483591495,0.002376893269571552,5.291892426075637,149.5906102097316,211.3977195827566,2444288.155258472,13.39376851729957,209.9311434202944,206.4281445797234,0.00254397390704657,0.002711054544521587,26.87817095950397
